method,id_dataset,ood_dataset,AUROC,AUPR_IN,AUPR_OUT,FPR95
ODIN,CIFAR-10,CIFAR100,0.881,0.8916,0.8587,0.5838
Energy,CIFAR-10,CIFAR100,0.8807,0.8913,0.8576,0.5825
KNN,CIFAR-10,CIFAR100,0.8707,0.8814,0.8506,0.6001
STOOD-X,CIFAR-10,CIFAR100,0.8706,0.8814,0.8507,0.6003
MSP,CIFAR-10,CIFAR100,0.8543,0.8773,0.8189,0.7125
Mahalanobis,CIFAR-10,CIFAR100,0.5495,0.5641,0.5334,0.9386
ODIN,CIFAR-10,MNIST,0.9643,0.9709,0.9561,0.2211
Energy,CIFAR-10,MNIST,0.9638,0.9706,0.9536,0.2073
STOOD-X,CIFAR-10,MNIST,0.9551,0.9611,0.9447,0.238
KNN,CIFAR-10,MNIST,0.9549,0.9611,0.9441,0.2432
MSP,CIFAR-10,MNIST,0.9045,0.9235,0.8826,0.5599
Mahalanobis,CIFAR-10,MNIST,0.3234,0.4127,0.3889,0.9845
STOOD-X,CIFAR-10,SVHN,0.9339,0.9094,0.9578,0.4916
KNN,CIFAR-10,SVHN,0.9333,0.9094,0.9568,0.5035
ODIN,CIFAR-10,SVHN,0.9168,0.8913,0.94,0.611
Energy,CIFAR-10,SVHN,0.9101,0.8856,0.9314,0.6549
MSP,CIFAR-10,SVHN,0.8923,0.8671,0.9293,0.709
Mahalanobis,CIFAR-10,SVHN,0.7626,0.6031,0.873,0.7886
