method,id_dataset,ood_dataset,AUROC,AUPR_IN,AUPR_OUT,FPR95
Energy,CIFAR-10,CIFAR100,0.88067424,0.8912765422516332,0.857560041514879,0.5825
ODIN,CIFAR-10,CIFAR100,0.8810072,0.8916034456349651,0.8587314736657421,0.5838
KNN,CIFAR-10,CIFAR100,0.8706603999999999,0.8814294030035799,0.8505509181948657,0.6001
STOOD-X,CIFAR-10,CIFAR100,0.870582005,0.8813757653186708,0.8506857891239684,0.6003
MSP,CIFAR-10,CIFAR100,0.8542977950000001,0.877281552617202,0.818853291599007,0.7125
Mahalanobis,CIFAR-10,CIFAR100,0.5494722,0.5640948465790747,0.5333977095080334,0.9386
Energy,CIFAR-10,MNIST,0.963830955,0.970623952184426,0.9535852870242204,0.2073
ODIN,CIFAR-10,MNIST,0.96427562,0.9709132038856284,0.956116359907438,0.2211
STOOD-X,CIFAR-10,MNIST,0.955055375,0.9610738460110216,0.9447298146975872,0.238
KNN,CIFAR-10,MNIST,0.95490664,0.9611354256623904,0.9440707973443574,0.2432
MSP,CIFAR-10,MNIST,0.90447126,0.9234638279872538,0.8825766856305066,0.5599
Mahalanobis,CIFAR-10,MNIST,0.3233600399999999,0.4126753662062716,0.3888850452113335,0.9845
STOOD-X,CIFAR-10,SVHN,0.9338958666256914,0.9093551619419612,0.9578198798036986,0.4915872771972956
KNN,CIFAR-10,SVHN,0.9332985690688382,0.9093719445635844,0.9567785856955796,0.5035341118623233
ODIN,CIFAR-10,SVHN,0.9168043753841426,0.8912843319746739,0.9399585587216835,0.6110172095881992
Energy,CIFAR-10,SVHN,0.910063047403196,0.8856116216382521,0.9313781384671114,0.6549247080516287
MSP,CIFAR-10,SVHN,0.8922620543945913,0.8671243290100227,0.92927275045962,0.7089735709895513
Mahalanobis,CIFAR-10,SVHN,0.7626192801167794,0.6031480574140823,0.8729987430279388,0.7886063306699447
