method,dataset,distribution,score
MSP,CIFAR-10,ID,0.9969480633735657
MSP,CIFAR-10,ID,0.999174177646637
MSP,CIFAR-10,ID,0.5408827066421509
MSP,CIFAR-10,ID,0.9475575089454651
MSP,CIFAR-10,ID,0.9989270567893982
MSP,CIFAR-10,ID,0.9993597865104675
MSP,CIFAR-10,ID,0.9706964492797852
MSP,CIFAR-10,ID,0.9841881990432739
MSP,CIFAR-10,ID,0.9965722560882568
MSP,CIFAR-10,ID,0.8652054667472839
MSP,CIFAR-10,ID,0.9988229870796204
MSP,CIFAR-10,ID,0.9999301433563232
MSP,CIFAR-10,ID,0.9940819144248962
MSP,CIFAR-10,ID,0.9999638795852661
MSP,CIFAR-10,ID,0.9969583749771118
MSP,CIFAR-10,ID,0.9743242263793945
MSP,CIFAR-10,ID,0.866974949836731
MSP,CIFAR-10,ID,0.9992294311523438
MSP,CIFAR-10,ID,0.9997695088386536
MSP,CIFAR-10,ID,0.9999978542327881
MSP,CIFAR-10,ID,0.7027238011360168
MSP,CIFAR-10,ID,0.9941720366477966
MSP,CIFAR-10,ID,0.9130687117576599
MSP,CIFAR-10,ID,0.9999890327453613
MSP,CIFAR-10,ID,0.9508684277534485
MSP,CIFAR-10,ID,0.9532228708267212
MSP,CIFAR-10,ID,0.8188844323158264
MSP,CIFAR-10,ID,0.9998972415924072
MSP,CIFAR-10,ID,0.9997411370277405
MSP,CIFAR-10,ID,0.999976396560669
MSP,CIFAR-10,ID,0.9780470728874207
MSP,CIFAR-10,ID,0.9999426603317261
MSP,CIFAR-10,ID,0.9742287397384644
MSP,CIFAR-10,ID,0.9620010852813721
MSP,CIFAR-10,ID,0.9999966621398926
MSP,CIFAR-10,ID,0.8316965103149414
MSP,CIFAR-10,ID,0.9965277314186096
MSP,CIFAR-10,ID,0.8331059813499451
MSP,CIFAR-10,ID,0.9999896287918091
MSP,CIFAR-10,ID,0.9999839067459106
MSP,CIFAR-10,ID,0.990561306476593
MSP,CIFAR-10,ID,0.9999911785125732
MSP,CIFAR-10,ID,0.983244001865387
MSP,CIFAR-10,ID,0.9997678399085999
MSP,CIFAR-10,ID,0.9995297193527222
MSP,CIFAR-10,ID,0.999981164932251
MSP,CIFAR-10,ID,0.8447489738464355
MSP,CIFAR-10,ID,0.41563794016838074
MSP,CIFAR-10,ID,0.9973340034484863
MSP,CIFAR-10,ID,0.9901365041732788
MSP,CIFAR-10,ID,0.9999370574951172
MSP,CIFAR-10,ID,0.9996790885925293
MSP,CIFAR-10,ID,0.30049625039100647
MSP,CIFAR-10,ID,0.951857328414917
MSP,CIFAR-10,ID,0.9995844960212708
MSP,CIFAR-10,ID,0.9999843835830688
MSP,CIFAR-10,ID,0.999765932559967
MSP,CIFAR-10,ID,0.7671874165534973
MSP,CIFAR-10,ID,0.959679365158081
MSP,CIFAR-10,ID,0.7734734416007996
MSP,CIFAR-10,ID,0.9997559189796448
MSP,CIFAR-10,ID,0.9313526153564453
MSP,CIFAR-10,ID,0.9998779296875
MSP,CIFAR-10,ID,0.9121481776237488
MSP,CIFAR-10,ID,0.9996532201766968
MSP,CIFAR-10,ID,0.9976620674133301
MSP,CIFAR-10,ID,0.9991766810417175
MSP,CIFAR-10,ID,0.9995400905609131
MSP,CIFAR-10,ID,0.9534521102905273
MSP,CIFAR-10,ID,0.9791077971458435
MSP,CIFAR-10,ID,0.7985833883285522
MSP,CIFAR-10,ID,0.9998394250869751
MSP,CIFAR-10,ID,0.9999631643295288
MSP,CIFAR-10,ID,0.9996071457862854
MSP,CIFAR-10,ID,0.9923359751701355
MSP,CIFAR-10,ID,0.9999980926513672
MSP,CIFAR-10,ID,0.9966766834259033
MSP,CIFAR-10,ID,0.9985904097557068
MSP,CIFAR-10,ID,0.6802878379821777
MSP,CIFAR-10,ID,0.9995582699775696
MSP,CIFAR-10,ID,0.9999959468841553
MSP,CIFAR-10,ID,0.9290410280227661
MSP,CIFAR-10,ID,0.9999579191207886
MSP,CIFAR-10,ID,0.9994118213653564
MSP,CIFAR-10,ID,0.5155937671661377
MSP,CIFAR-10,ID,0.8422845005989075
MSP,CIFAR-10,ID,0.7217205762863159
MSP,CIFAR-10,ID,0.9554405212402344
