epoch,train_loss,train_acc,test_loss,test_acc
1,2.0626263790512085,0.25754,1.683121987915039,0.373
2,1.4426811402893067,0.46888,1.3714364183425902,0.5103
3,1.125818240966797,0.59442,1.2170134971618651,0.577
4,0.9046834685325622,0.68174,0.9669096620559693,0.6673
5,0.7418631749343872,0.7401,0.7374354225158691,0.741
6,0.6442687935256958,0.77566,0.8540941791534424,0.7186
7,0.5821122583961487,0.80076,0.7862858165740967,0.7342
8,0.5489368251037597,0.81202,0.7023394771575928,0.7656
9,0.5133622154045105,0.82394,0.6684535496234894,0.7737
10,0.4972266097259522,0.83084,0.626373963356018,0.787
11,0.3260513184738159,0.88864,0.330990261054039,0.8872
12,0.2718328051376343,0.90772,0.3151049809217453,0.8945
13,0.24921174499034882,0.91476,0.3117595560312271,0.8933
14,0.22910351835250856,0.92246,0.30581862758398054,0.8981
15,0.21402067348480225,0.9268,0.2894766330242157,0.9036
16,0.18230350734710693,0.93834,0.27133794206380846,0.9091
17,0.1724449649810791,0.94186,0.2719236942529678,0.9091
18,0.16611610226631165,0.94488,0.271021814262867,0.9096
19,0.1657172455596924,0.94352,0.2682516966462135,0.9097
20,0.16308502657413482,0.94494,0.26874458842277527,0.9103
